matnr;bwkey;bwtar;stprs;peinh;bklas
000000000003000009;E110;;21177.45;1000;7900
000000000003000010;E110;;11475.26;1000;7900
000000000003000011;E110;;2915;1000;7900
000000000003000012;E110;;4505.33;1000;7900
000000000003000013;E110;;25085.37;1000;7900
000000000003000014;E110;;14586.6;1000;7900
000000000003000015;E110;;27260.79;1000;7900
000000000003000016;E110;;93238.92;1000;7900
000000000003000017;E110;;11420.27;1000;7900
000000000003000018;E110;;29302.07;1000;7900
000000000003000019;E110;;11582.33;1000;7900
000000000003000020;E110;;0;1000;7900
000000000003000021;E110;;0;1000;7900
000000000003000022;E110;;0;1000;7900
000000000003000023;E110;;37930.71;1000;7900
000000000003000024;E110;;37930.71;1000;7900
000000000003000301;E110;;4417203.93;1000;7900
000000000003000302;E110;;5214746.97;1000;7900
000000000003000303;E110;;3067427;1000;7900
000000000003000304;E110;;3292388.61;1000;7900
000000000003000305;E110;;677945.89;1000;7900
000000000003000306;E110;;940230.91;1000;7900
000000000003000307;E110;;2721456.27;1000;7900
000000000003000308;E110;;2998568.86;1000;7900
000000000003000309;E110;;4180195.43;1000;7900
000000000003000310;E110;;4448967.02;1000;7900
000000000003000311;E110;;4523041.7;1000;7900
000000000003000312;E110;;5182920.85;1000;7900
000000000003000313;E110;;909173.51;1000;7900
000000000003000314;E110;;11225571.46;1000;7900
000000000003000315;E110;;4123719.32;1000;7900
000000000003000316;E110;;4504345.78;1000;7900
000000000003000317;E110;;5369293.69;1000;7900
000000000003000318;E110;;5640110.91;1000;7900
000000000003000319;E110;;13450851.29;1000;7900
000000000003000320;E110;;6055662.83;1000;7900
000000000003000321;E110;;1724480.33;1000;7900
000000000003000322;E110;;2224182.61;1000;7900
000000000003000323;E110;;571058.98;1000;7900
000000000003000324;E110;;858646.21;1000;7900
000000000003000325;E110;;1884701.59;1000;7900
000000000003000326;E110;;2386063.19;1000;7900
000000000003000327;E110;;30025915.66;1000;7900
000000000003000328;E110;;4294906.8;1000;7900
000000000003000329;E110;;2299200.2;1000;7900
000000000003000330;E110;;8018866.63;1000;7900
000000000003000331;E110;;8165961.45;1000;7900
000000000003000332;E110;;3372328.35;1000;7900
000000000003000333;E110;;748626.71;1000;7900
000000000003000334;E110;;941206.5;1000;7900
000000000003000335;E110;;1489390.31;1000;7900
000000000003000336;E110;;7675199.14;1000;7900
000000000003000337;E110;;24771430.93;1000;7900
000000000003000338;E110;;4600956.69;1000;7900
000000000003000339;E110;;4045870.42;1000;7900
000000000003000340;E110;;4613253.94;1000;7900
000000000003000341;E110;;19184674.54;1000;7900
000000000003000342;E110;;42275855.06;1000;7900
000000000003000343;E110;;9630221.47;1000;7900
000000000003000344;E110;;7605483.87;1000;7900
000000000003000345;E110;;7929957.98;1000;7900
000000000003000346;E110;;69098262.11;1000;7900
000000000003000347;E110;;109632862.75;1000;7900
000000000003000348;E110;;35473517.17;1000;7900
000000000003000349;E110;;38108093.79;1000;7900
000000000003000350;E110;;664422.75;1000;7900
000000000003000351;E110;;3240177.37;1000;7900
000000000003000352;E110;;7169498.56;1000;7900
000000000003000353;E110;;6511113.81;1000;7900
000000000003000354;E110;;18521217.31;1000;7900
000000000003000355;E110;;1185289.21;1000;7900
000000000003000356;E110;;9881117.21;1000;7900
000000000003000357;E110;;27570787.23;1000;7900
000000000003000358;E110;;14892585.95;1000;7900
000000000003000359;E110;;1339221.51;1000;7900
000000000003000360;E110;;4326570.28;1000;7900
000000000003000361;E110;;3946846.93;1000;7900
000000000003000362;E110;;8167583.81;1000;7900
000000000003000363;E110;;13669297.18;1000;7900
000000000003000364;E110;;9789685.76;1000;7900
000000000003000365;E110;;10250575.75;1000;7900
000000000003000366;E110;;8511847.2;1000;7900
000000000003000367;E110;;13021938.3;1000;7900
000000000003000368;E110;;4717307.22;1000;7900
000000000003000369;E110;;41819.1;1000;7900
000000000003000370;E110;;33156664.38;1000;7900
000000000003000371;E110;;3901638.43;1000;7900
000000000003000372;E110;;8785974.19;1000;7900
000000000003000373;E110;;9828353.11;1000;7900
000000000003000374;E110;;67629381.26;1000;7900
000000000003000375;E110;;84223963.69;1000;7900
000000000003000376;E110;;20120257.48;1000;7900
000000000003000377;E110;;1743230.96;1000;7900
